League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SOUTH KOREA 1,2025-08-08,07:30:00,25,FC Seoul,Daegu,1.85,2.38,6.25,1.35,4.4,6.7,1.33,3.1,2.45,1.48,5.5,1.12,1.04,10.0,1.22,4.0,1.7,2.17,1.85,1.83,1.08,1.15,2.75,1.45,0.25,1.6,1.14,2.74,1.33,9.5,4.4,1.26,3.4,1.46,2.48,1.76,1.93,2.18,1.58,2.8,1.37
SOUTH KOREA 1,2025-08-08,07:30:00,25,Jeonbuk Motors,Anyang,2.1,2.2,5.25,1.61,3.62,4.5,1.36,2.88,2.65,1.42,6.0,1.11,1.05,9.5,1.28,3.65,1.8,1.9,1.77,1.9,1.15,1.2,2.2,1.92,1.0,1.53,1.29,2.82,1.53,8.5,3.2,1.3,3.1,1.53,2.32,1.86,1.82,2.35,1.5,3.1,1.3
CHINA 1,2025-08-08,08:35:00,20,Dalian Zhixing,Chengdu Better City FC,4.75,2.38,2.05,5.0,4.0,1.55,1.3,3.2,2.4,1.5,5.2,1.12,1.03,10.0,1.22,4.0,1.7,2.1,1.73,1.93,2.3,1.17,1.12,1.53,2.11,1.43,1.99,3.42,3.75,9.5,1.41,1.19,4.0,1.35,2.88,1.58,2.2,1.91,1.78,2.4,1.49
CHINA 1,2025-08-08,09:00:00,20,Henan Jianye,Sichuan Jiuniu,2.1,2.38,4.5,1.62,4.0,4.5,1.28,3.3,2.38,1.53,4.9,1.13,1.03,10.0,1.2,4.33,1.62,2.2,1.65,2.05,1.15,1.18,2.15,0.84,0.89,1.62,1.11,2.73,1.35,10.0,4.2,1.2,3.95,1.24,3.55,1.41,2.65,1.65,2.08,1.98,1.71
UKRAINE 1,2025-08-08,09:30:00,2,SK Poltava,Veres Rivne,0.0,0.0,0.0,3.16,3.16,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINLAND 1,2025-08-08,12:00:00,19,Inter Turku,Oulu,1.78,2.7,6.5,1.24,5.9,6.8,1.25,3.7,2.15,1.61,4.3,1.15,1.01,16.0,1.12,5.2,1.47,2.6,1.79,1.95,1.17,1.15,3.1,2.11,0.78,1.59,1.05,2.64,1.26,10.0,4.64,1.24,3.52,1.45,2.57,1.74,2.01,2.18,1.64,2.73,1.4
FRANCE 2,2025-08-08,12:00:00,1,Pau,Annecy,0.0,0.0,0.0,2.3,3.2,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 2,2025-08-08,12:00:00,1,Troyes,Grenoble Foot 38,0.0,0.0,0.0,1.83,3.2,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECH 2,2025-08-08,12:00:00,5,Sparta Praha II,Hanácká,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECH 2,2025-08-08,13:00:00,5,Táborsko,Baník Ostrava II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECH 2,2025-08-08,13:00:00,5,České Budějovice,Vlašim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECH 2,2025-08-08,13:00:00,5,Vyškov,Ústí nad Labem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECH 2,2025-08-08,13:00:00,5,Líšeň,Zbrojovka Brno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECH 2,2025-08-08,13:00:00,5,Chrudim,Vysočina Jihlava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA 1,2025-08-08,13:00:00,4,Dobrudzha 1919,CSKA 1948 Sofia,4.4,2.11,2.4,3.94,3.11,1.84,1.36,2.8,2.88,1.4,7.5,1.08,1.01,9.0,1.3,3.39,2.15,1.57,1.91,1.83,1.3,1.31,1.22,3.0,1.0,2.11,2.35,4.46,2.55,8.5,1.74,1.25,3.45,1.44,2.55,1.71,1.98,2.1,1.64,2.65,1.41
POLAND 1,2025-08-08,13:00:00,4,Korona Kielce,Radomiak Radom,3.1,2.15,3.25,2.46,3.03,2.6,1.4,2.75,3.0,1.35,7.7,1.07,1.06,8.5,1.36,3.0,1.85,1.85,1.87,1.92,1.38,1.32,1.44,0.33,2.33,1.37,1.46,2.83,1.85,8.7,2.17,1.17,4.3,1.28,3.08,1.53,2.28,1.9,1.8,2.42,1.47
AUSTRIA 2,2025-08-08,13:00:00,2,Austria Lustenau,WSPG Wels,1.65,2.7,6.2,1.43,4.33,5.3,1.22,3.8,2.0,1.7,4.75,1.2,1.02,19.0,1.09,5.5,1.45,2.63,1.6,2.2,1.18,1.12,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-08-08,13:00:00,2,Floridsdorfer AC,Kapfenberger SV,2.31,2.16,3.94,1.91,3.41,3.29,1.33,3.2,2.55,1.44,5.8,1.1,1.04,10.0,1.25,3.65,1.78,1.92,1.72,1.98,1.18,1.26,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-08-08,13:00:00,2,St. Pölten,Schwarz-Weiß Bregenz,1.62,2.9,5.5,1.21,6.5,7.3,1.19,4.33,1.87,1.82,3.75,1.23,1.01,21.0,1.08,7.0,1.28,3.25,1.51,2.35,1.14,1.13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-08-08,13:00:00,2,Austria Klagenfurt,Austria Wien II,1.91,2.6,5.0,1.43,4.33,5.3,1.25,3.75,2.1,1.67,4.5,1.17,0.0,0.0,0.0,0.0,1.5,2.5,1.62,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLAND 2,2025-08-08,13:00:00,4,Ruch Chorzów,Pogoń Siedlce,2.15,2.25,5.0,1.56,3.77,4.7,1.3,3.1,2.5,1.42,5.5,1.1,1.02,12.0,1.25,3.8,1.77,1.93,1.75,2.0,1.25,1.18,2.2,3.0,0.0,1.8,1.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENMARK 1,2025-08-08,13:00:00,4,København,AGF,2.22,2.4,5.0,1.64,3.92,4.96,1.3,3.2,2.55,1.5,5.2,1.12,1.02,10.0,1.2,3.82,1.78,2.01,1.75,1.95,1.21,1.23,2.12,3.0,1.0,1.59,1.14,2.73,1.64,7.5,2.95,1.4,2.73,1.68,2.3,2.46,1.68,2.67,1.42,3.1,1.3
GERMANY 2,2025-08-08,13:30:00,2,Preußen Münster,Paderborn,3.4,2.1,2.85,3.81,3.7,1.86,1.36,2.88,2.6,1.44,6.3,1.06,1.05,9.0,1.28,3.65,1.55,2.2,1.62,2.1,1.6,1.28,1.35,0.0,0.0,0.0,0.0,0.0,2.95,8.0,1.61,1.21,3.85,1.37,2.8,1.62,2.12,1.98,1.72,2.5,1.46
GERMANY 2,2025-08-08,13:30:00,2,Nürnberg,Darmstadt 98,3.25,2.2,2.8,3.17,3.56,2.11,1.3,3.2,2.35,1.53,5.55,1.08,1.04,10.0,1.2,4.33,1.8,1.94,1.48,2.4,1.57,1.25,1.42,0.0,0.0,0.0,0.0,0.0,2.1,8.0,2.08,1.21,3.85,1.37,2.8,1.62,2.12,1.98,1.71,2.5,1.45
GERMANY 3,2025-08-08,14:00:00,2,Schweinfurt,Energie Cottbus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Stade Briochin,Versailles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Villefranche,Concarneau,3.29,1.95,3.58,2.5,3.1,2.8,1.45,2.45,3.1,1.3,8.9,1.06,1.02,6.5,1.35,2.8,2.2,1.58,1.87,1.77,1.32,1.36,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Rouen,Fleury 91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Caen,Aubagne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Paris 13 Atletico,Quevilly Rouen,2.7,2.0,3.7,1.9,3.05,4.1,1.47,2.4,3.48,1.29,9.1,1.04,1.05,6.45,1.42,2.6,2.38,1.5,2.1,1.67,1.12,1.36,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Le Puy F.43 Auvergne,Sochaux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWITZERLAND 2,2025-08-08,14:30:00,3,Wil,Étoile Carouge,3.0,2.38,2.9,2.35,3.31,2.55,1.3,3.5,2.3,1.57,5.0,1.15,1.01,13.0,1.17,4.4,1.7,2.02,1.45,2.4,1.3,1.24,1.5,0.0,0.0,1.31,1.95,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Bourg-en-Bresse,Boulogne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Châteauroux,Valenciennes,3.2,2.1,2.7,2.7,3.2,2.5,1.37,2.75,2.8,1.35,7.5,1.08,1.02,8.5,1.3,3.2,1.98,1.72,1.73,1.95,1.28,1.35,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-08-08,14:30:00,1,Orléans,Dijon,3.0,2.1,3.6,2.04,3.25,3.3,1.4,2.75,2.89,1.35,6.0,1.08,1.04,8.5,1.3,3.2,1.96,1.78,1.75,1.9,1.3,1.35,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 1,2025-08-08,15:00:00,1,Fortuna Sittard,Go Ahead Eagles,3.25,2.18,3.1,2.66,3.4,2.5,1.3,3.08,2.48,1.45,6.0,1.09,1.02,12.0,1.2,4.05,1.72,2.12,1.6,2.25,1.26,1.28,1.41,0.0,0.0,0.0,0.0,0.0,2.2,8.7,2.16,1.25,3.6,1.42,2.62,1.7,2.05,2.1,1.71,2.62,1.42
BELGIUM 2,2025-08-08,15:00:00,1,Olympic Charleroi,KAA Gent II,0.0,0.0,0.0,2.29,3.8,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELGIUM 2,2025-08-08,15:00:00,1,RFC Seraing,Beerschot-Wilrijk,4.5,2.38,2.3,3.6,3.8,1.73,1.3,3.4,2.38,1.53,6.0,1.13,0.0,0.0,0.0,0.0,1.61,2.1,1.67,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 2,2025-08-08,15:00:00,1,Oss,MVV,3.0,2.25,3.0,2.4,3.35,2.5,1.29,3.2,2.3,1.52,5.25,1.12,1.01,11.5,1.18,4.5,1.62,2.25,1.5,2.45,1.28,1.25,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENMARK 1,2025-08-08,15:00:00,4,Viborg,SønderjyskE,2.3,2.24,4.0,1.74,3.7,3.62,1.29,3.6,2.25,1.62,5.3,1.14,1.03,14.4,1.17,4.6,1.6,2.3,1.55,2.3,1.26,1.25,1.98,0.0,0.0,0.96,1.97,2.93,1.77,8.0,2.45,1.19,3.9,1.38,2.8,1.65,2.1,2.0,1.72,2.55,1.45
NETHERLANDS 2,2025-08-08,15:00:00,1,Den Bosch,Ajax II,2.4,2.28,4.0,1.84,3.5,3.5,1.28,3.28,2.34,1.53,5.25,1.15,1.03,13.0,1.18,4.6,1.59,2.25,1.55,2.25,1.25,1.22,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 2,2025-08-08,15:00:00,1,De Graafschap,VVV,2.0,2.45,4.6,1.54,4.42,5.5,1.23,3.6,2.05,1.65,4.33,1.17,1.02,10.0,1.14,5.0,1.47,2.4,1.53,2.3,1.17,1.17,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 2,2025-08-08,15:00:00,1,Dordrecht,Cambuur,3.0,2.25,2.8,2.75,3.6,2.39,1.28,3.2,2.25,1.53,5.25,1.13,1.02,11.5,1.18,4.2,1.57,2.15,1.52,2.35,1.27,1.25,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNGARY 1,2025-08-08,15:00:00,3,Kazincbarcika,Debrecen,3.4,2.15,2.77,2.84,3.36,2.13,1.35,2.8,2.55,1.45,5.5,1.1,1.04,12.0,1.22,3.9,1.7,1.95,1.62,2.2,1.3,1.25,1.4,0.0,1.0,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 2,2025-08-08,15:00:00,1,Eindhoven,Utrecht II,2.02,2.5,4.5,1.42,4.5,5.8,1.28,3.3,2.3,1.51,5.25,1.12,1.02,9.0,1.16,4.0,1.6,2.1,1.75,2.0,1.17,1.15,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWITZERLAND 2,2025-08-08,15:15:00,3,Rapperswil-Jona,Yverdon Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.02,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA 1,2025-08-08,15:15:00,4,Montana,Botev Vratsa,3.6,2.01,3.23,2.39,3.08,2.66,1.49,2.6,3.3,1.3,9.4,1.06,1.02,7.5,1.42,2.7,2.4,1.57,1.95,1.75,1.33,1.33,1.4,1.0,1.0,0.96,1.25,2.21,1.93,7.5,2.3,1.3,3.1,1.54,2.28,1.88,1.8,2.38,1.49,3.1,1.3
TURKEY 2,2025-08-08,15:30:00,1,Ümraniyespor,Manisa BBSK,2.88,2.1,3.4,2.29,3.29,3.09,1.38,3.01,2.92,1.4,7.3,1.03,1.02,9.15,1.3,3.53,1.95,1.84,1.67,2.1,1.34,1.28,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLAND 1,2025-08-08,15:30:00,4,Górnik Zabrze,Nieciecza,2.4,2.3,4.33,1.7,3.4,4.2,1.33,3.1,2.6,1.44,6.5,1.11,1.05,11.0,1.25,3.75,1.9,1.8,1.73,2.05,1.29,1.22,2.0,2.0,1.33,1.39,1.54,2.93,1.61,9.1,2.67,1.13,4.8,1.21,3.58,1.4,2.64,1.77,1.95,2.11,1.62
ROMANIA 1,2025-08-08,15:30:00,5,Metaloglobus,Dinamo Bucureşti,8.0,2.4,1.83,5.7,3.61,1.5,1.33,3.25,2.63,1.44,6.5,1.11,0.0,0.0,0.0,0.0,1.78,1.92,2.1,1.67,0.0,0.0,0.0,0.0,0.5,1.69,2.12,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURKEY 1,2025-08-08,15:30:00,1,Gazişehir Gaziantep,Galatasaray,7.0,2.75,1.73,6.25,5.0,1.33,1.25,3.75,2.1,1.67,4.5,1.18,1.01,17.0,1.15,5.25,1.48,2.6,1.73,2.0,3.0,1.16,1.09,0.0,0.0,0.0,0.0,0.0,7.5,12.5,1.15,1.24,3.55,1.42,2.63,1.68,2.02,2.07,1.66,2.63,1.42
POLAND 2,2025-08-08,15:30:00,4,Śląsk Wrocław,Miedź Legnica,0.0,0.0,0.0,1.59,3.62,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,1.83,2.0,0.0,1.5,1.11,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-08-08,15:30:00,2,First Vienna,Austria Salzburg,1.83,2.6,5.5,1.57,3.62,4.8,1.25,3.75,2.2,1.62,4.5,1.17,0.0,0.0,0.0,0.0,1.53,2.37,1.67,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALES 1,2025-08-08,15:45:00,1,Haverfordwest County,Penybont,3.2,1.85,3.3,2.45,3.31,2.45,1.5,2.35,3.1,1.3,6.8,1.06,1.01,6.8,1.37,2.8,2.15,1.67,1.83,1.86,1.3,1.27,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALES 1,2025-08-08,15:45:00,1,Bala Town,Flint Town United,1.83,2.24,5.7,1.43,3.99,5.8,1.34,2.98,2.69,1.41,6.2,1.09,1.02,10.0,1.25,3.5,1.85,1.85,2.07,1.71,1.16,1.18,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
