League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
UKRAINE 1,2025-08-18,12:00:00,3,Zorya,Hirnyk,3.3,2.13,3.38,2.62,3.27,2.62,1.43,2.68,3.02,1.35,7.6,1.07,1.01,9.0,1.3,2.98,2.05,1.68,1.82,1.9,1.46,1.35,1.47,2.0,0.0,0.93,1.38,2.31,2.17,6.27,2.17,1.89,1.81,2.49,1.45,3.54,1.21,5.48,1.06,6.83,1.02
FINLAND 1,2025-08-18,13:00:00,20,Jaro,SJK,3.75,2.3,2.43,3.3,3.6,1.75,1.27,3.4,2.2,1.61,5.0,1.15,1.03,12.0,1.17,4.65,1.5,2.4,1.47,2.48,1.85,1.25,1.29,1.0,1.56,1.06,1.41,2.47,2.65,8.4,1.7,1.16,4.3,1.26,3.4,1.69,2.25,1.86,1.81,2.33,1.54
ROMANIA 1,2025-08-18,13:00:00,6,Argeș,Oţelul Galaţi,3.0,1.95,4.33,2.61,2.81,2.62,1.53,2.38,3.5,1.29,11.0,1.05,0.0,0.0,1.5,2.4,2.5,1.53,2.1,1.67,0.0,0.0,0.0,1.5,0.5,1.4,1.52,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA 1,2025-08-18,13:00:00,5,Septemvri Sofia,Dobrudzha 1919,2.8,2.05,3.2,2.53,3.0,2.5,1.44,2.62,3.0,1.33,7.3,1.03,1.05,8.0,1.33,3.0,2.14,1.67,1.8,1.91,1.36,1.35,1.44,0.0,0.0,1.48,0.76,2.24,2.88,8.0,1.63,1.24,3.55,1.43,2.55,1.72,1.98,2.16,1.6,2.75,1.38
CZECH 2,2025-08-18,13:00:00,6,Ústí nad Labem,Líšeň,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWEDEN 1,2025-08-18,14:00:00,20,Värnamo,Degerfors,3.0,2.25,3.25,2.26,3.21,2.73,1.33,3.25,2.63,1.44,6.5,1.11,1.05,10.0,1.25,3.85,1.62,2.3,1.62,2.2,1.4,1.25,1.57,0.7,1.0,1.39,1.15,2.54,1.67,8.5,2.75,1.13,4.6,1.28,3.3,1.47,2.48,1.74,1.96,2.14,1.62
NORWAY 2,2025-08-18,14:00:00,19,Kongsvinger,Mjøndalen,1.67,2.74,7.82,1.27,5.5,7.5,1.16,4.2,1.89,1.79,4.0,1.21,1.01,23.0,1.11,5.8,1.35,2.94,1.62,2.09,1.08,1.13,3.3,1.89,0.89,2.08,0.94,3.02,1.15,12.0,5.4,1.06,5.64,1.25,3.5,1.38,2.6,1.68,2.04,2.02,1.68
NORWAY 2,2025-08-18,14:00:00,19,Stabæk,Sogndal,2.39,2.36,3.02,2.06,3.89,2.79,1.25,3.8,2.07,1.71,4.25,1.18,1.02,16.5,1.14,5.25,1.45,2.56,1.4,2.7,1.2,1.24,1.65,1.0,1.44,1.4,1.26,2.66,1.72,8.5,2.74,1.06,5.52,1.3,3.28,1.54,2.42,1.7,1.98,2.1,1.68
NORWAY 2,2025-08-18,14:00:00,19,Aalesund,Ranheim,2.21,2.27,4.2,1.74,3.72,3.92,1.3,3.1,2.4,1.5,5.25,1.09,1.03,12.0,1.2,4.2,1.6,2.2,1.65,2.1,1.29,1.25,1.98,2.11,1.63,1.37,1.32,2.69,1.6,9.2,2.9,1.06,5.51,1.21,3.5,1.54,2.53,1.83,1.98,2.28,1.58
NORWAY 2,2025-08-18,14:00:00,19,Åsane,Raufoss,2.58,2.43,3.54,2.02,3.61,3.05,1.29,3.34,2.3,1.55,5.25,1.12,1.03,11.9,1.17,4.33,1.6,2.2,1.47,2.4,1.27,1.27,1.68,1.33,0.88,1.25,1.31,2.56,1.62,9.1,2.55,1.08,5.23,1.21,3.8,1.36,2.85,1.6,2.16,1.93,1.76
