Date,Time,League,Home,Away,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_1X_Back,Odd_1X_Lay,Odd_X2_Back,Odd_X2_Lay,Odd_12_Back,Odd_12_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Double_Chance,IDMercado_Over_Under_05_Goals,IDMercado_Over_Under_15_Goals,IDMercado_Over_Under_25_Goals,IDMercado_Over_Under_35_Goals,IDMercado_Over_Under_45_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,ID_Evento,First_Half_Goals_0.5_5851482,First_Half_Goals_0.5_5851483,Double_Chance_6384646,Double_Chance_6384647,Double_Chance_6384648,First_Half_Goals_2.5_47972,First_Half_Goals_2.5_47973,Over_Under_4.5_Goals_1222347,Over_Under_4.5_Goals_1222346,Over_Under_2.5_Goals_47972,Over_Under_2.5_Goals_47973,Correct_Score_1,Correct_Score_4,Correct_Score_9,Correct_Score_16,Correct_Score_2,Correct_Score_3,Correct_Score_8,Correct_Score_15,Correct_Score_5,Correct_Score_6,Correct_Score_7,Correct_Score_14,Correct_Score_10,Correct_Score_11,Correct_Score_12,Correct_Score_13,Correct_Score_9063254,Correct_Score_9063255,Correct_Score_9063256,First_Half_Goals_1.5_1221385,First_Half_Goals_1.5_1221386,Over_Under_0.5_Goals_5851482,Over_Under_0.5_Goals_5851483,Both_teams_to_Score_30246,Both_teams_to_Score_110503,Over_Under_3.5_Goals_1222344,Over_Under_3.5_Goals_1222345,Over_Under_1.5_Goals_1221385,Over_Under_1.5_Goals_1221386,IDMercado_First_Half_Goals_0.5,IDMercado_First_Half_Goals_2.5,IDMercado_Over_Under_4.5_Goals,IDMercado_Over_Under_2.5_Goals,IDMercado_First_Half_Goals_1.5,IDMercado_Over_Under_0.5_Goals,IDMercado_Over_Under_3.5_Goals,IDMercado_Over_Under_1.5_Goals,_merge
2025-12-11,06:00:00,Other Competitions Soccer,Vietnam (W),Myanmar (W),3.1,3.85,1.35,1.48,1.49,1.6,2.66,3.25,1.13,1.17,6.8,9.2,1.39,1.47,6.0,13.5,4.9,6.4,1.09,1.15,3.0,4.0,1.16,1.25,21.0,26.0,1.04,1.05,3.75,4.9,1.26,1.37,1.95,2.28,1.78,2.06,1.46,1.51,2.96,3.75,1.15,1.21,5.9,8.2,2.12,2.52,1.66,1.9,4.4,24.0,4.3,30.0,4.7,110.0,4.9,1000.0,6.4,9.0,4.1,970.0,4.4,42.0,4.8,200.0,6.0,8.8,3.9,13.0,4.4,38.0,4.8,170.0,9.0,13.5,4.3,970.0,4.5,48.0,90.0,1000.0,5.8,8.2,4.9,1000.0,5.0,1000.0,1.251557095,1.251557097,1.25155709,5589529.0,6652279.0,58805.0,1.251557092,1.251557093,1.251557096,1.25155714,1.251557137,1.251557141,1.251557138,1.251557176,1.251557101,35048639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,06:00:00,Other Competitions Soccer,Philippines (W),Malaysia (W),3.05,36.0,1.03,1.3,1.04,1000.0,1.05,1000.0,1.65,1000.0,1.1,2.54,1.03,1.04,80.0,980.0,28.0,120.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,130.0,1000.0,1.01,1.01,3.0,110.0,1.02,1.22,3.5,21.0,1.11,1.4,1.18,1000.0,1.05,7.4,1.06,1000.0,1.1,36.0,1.04,1000.0,1.04,1000.0,130.0,1000.0,2.5,1000.0,2.5,1000.0,2.52,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,2.5,1000.0,500.0,1000.0,1.02,1.7,2.52,1000.0,2.52,1000.0,1.251557185,1.251557187,1.25155718,6652280.0,6655170.0,58805.0,1.251557182,1.251557183,1.251557186,1.25155723,1.251557227,1.251557231,1.251557228,1.251557266,1.251557191,35048635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,07:00:00,AFC Champions League Two,G-Osaka,Ratchaburi,4.4,4.8,1.26,1.29,1.76,1.83,2.2,2.32,1.21,1.24,5.1,5.8,1.42,1.45,6.8,1000.0,3.25,6.8,1.12,1.16,3.05,3.9,1.18,1.23,21.0,40.0,1.03,1.05,6.0,8.2,1.16,1.19,2.74,3.0,1.51,1.57,1.7,1.8,2.26,2.44,1.32,1.35,3.75,4.2,1.74,1.9,2.12,2.38,2.9,38.0,2.36,50.0,2.4,1000.0,2.38,1000.0,4.3,970.0,3.35,970.0,2.32,36.0,2.42,1000.0,7.4,13.0,2.48,970.0,2.78,24.0,2.42,1000.0,3.2,1000.0,4.2,1000.0,2.3,36.0,75.0,1000.0,2.94,5.6,2.42,1000.0,6.0,1000.0,1.251515411,1.251515413,1.251515406,441083.0,7583019.0,58805.0,1.251515408,1.251515399,1.251515412,1.251515422,1.251515418,1.251515364,1.251515419,1.251515407,1.251515417,35045303.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,07:00:00,AFC Champions League Two,Nam Dinh,Eastern AA,6.0,6.8,1.17,1.19,2.16,2.26,1.79,1.86,1.38,1.39,3.6,3.65,1.12,1.14,1.09,30.0,2.0,14.5,1.03,1.06,1.02,9.2,1.07,1.1,55.0,110.0,1.01,1.02,11.0,13.0,1.08,1.1,4.2,5.0,1.25,1.3,2.3,2.46,1.68,1.77,1.59,1.72,2.38,2.7,1.96,2.24,1.8,2.06,55.0,95.0,6.4,120.0,6.4,330.0,6.4,1000.0,15.5,19.0,5.5,34.0,55.0,80.0,6.4,1000.0,10.0,14.0,13.0,19.0,6.2,55.0,6.2,230.0,8.4,10.5,12.0,14.5,5.9,42.0,150.0,220.0,2.1,2.6,6.4,1000.0,6.8,1000.0,1.251515195,1.251515197,1.25151519,3024435.0,9253857.0,58805.0,1.251515192,1.251515183,1.251515196,1.251515206,1.251515202,1.251515148,1.251515203,1.251515191,1.251515201,35045310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,07:30:00,Azerbaijan 1st Division,Shafa Baku FC,Zaqatala,1.2,1000.0,1.35,2.36,1.04,110.0,1.05,110.0,1.14,1.17,1.1,1000.0,1.48,3.1,2.0,16.5,2.0,32.0,1.11,1.18,1.33,36.0,1.22,1.3,4.5,36.0,1.05,1.07,2.24,21.0,1.25,1.6,1.71,4.1,1.34,3.2,1.46,55.0,1.05,7.6,1.15,1.22,1.1,7.8,1.04,1000.0,1.04,1000.0,1.04,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.251554597,1.251554599,1.251554592,88651207.0,15282695.0,58805.0,1.251554594,1.251554595,1.251554598,1.251554642,1.251554639,1.251554643,1.25155464,1.251554678,1.251554603,35048532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,07:30:00,Other Competitions Soccer,Bahrain U23,Kuwait U23,2.98,3.3,1.44,1.5,1.41,1.47,3.1,3.45,1.09,1.12,9.2,11.5,2.32,2.72,2.88,3.45,3.2,3.9,1.41,1.62,1.56,1.84,1.34,1.46,10.0,13.5,1.08,1.11,3.15,3.8,1.36,1.46,1.76,1.95,2.06,2.32,1.28,1.37,3.7,4.6,1.1,1.14,8.2,10.5,1.94,2.02,1.98,2.06,3.9,13.5,3.8,12.0,4.5,26.0,5.0,70.0,3.85,10.5,3.35,8.6,4.0,14.5,4.9,48.0,4.2,19.5,3.95,14.5,4.4,23.0,5.0,65.0,4.8,44.0,4.7,36.0,5.0,55.0,90.0,1000.0,4.7,34.0,4.9,48.0,5.6,1000.0,1.251557365,1.251557367,1.25155736,6138165.0,7579817.0,58805.0,1.251557362,1.251557363,1.251557366,1.25155741,1.251557407,1.251557411,1.251557408,1.251557446,1.251557371,35048731.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,07:30:00,Other Competitions Soccer,Qatar U23,Saudi Arabia U23,3.0,3.3,1.44,1.49,1.41,1.47,3.1,3.45,1.09,1.13,8.6,12.5,3.7,4.6,2.02,2.28,3.25,3.9,1.79,2.02,1.28,1.42,1.25,1.51,10.0,13.5,1.08,1.11,3.2,3.95,1.34,1.44,1.76,1.98,2.02,2.32,1.28,1.39,3.6,4.6,1.1,1.15,1.1,11.0,1.83,2.04,1.97,2.2,3.85,13.5,3.65,10.5,4.0,15.5,4.6,32.0,4.0,16.0,3.35,8.4,3.9,13.0,4.6,29.0,4.6,32.0,4.2,19.0,4.4,23.0,4.8,48.0,5.1,110.0,4.9,60.0,5.0,70.0,5.2,1000.0,5.0,75.0,4.3,22.0,5.3,1000.0,1.251557275,1.251557277,1.25155727,6113971.0,6179241.0,58805.0,1.251557272,1.251557273,1.251557276,1.25155732,1.251557317,1.251557321,1.251557318,1.251557356,1.251557281,35048744.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,08:00:00,Azerbaijan 1st Division,Sabail,Agsu,3.2,4.1,1.34,1.45,1.46,1.62,2.62,3.2,1.13,1.17,6.0,9.0,1.31,1.36,8.8,20.0,4.8,6.6,1.06,1.09,3.7,4.7,1.18,1.25,3.45,21.0,1.05,1.08,3.55,4.9,1.26,1.37,1.87,2.28,1.79,2.14,1.43,1.48,2.96,3.9,1.14,1.2,2.0,8.6,2.34,2.84,1.54,1.74,4.8,48.0,5.6,1000.0,6.2,1000.0,6.4,1000.0,3.5,7.8,4.7,1000.0,5.9,1000.0,6.2,1000.0,3.5,1000.0,4.3,13.0,5.6,1000.0,6.2,1000.0,4.0,1000.0,4.8,1000.0,5.9,1000.0,6.2,1000.0,3.35,6.8,4.0,1000.0,6.4,1000.0,1.251516596,1.251516598,1.251516591,14003203.0,10563338.0,58805.0,1.251516593,1.251516594,1.251516597,1.251516641,1.251516638,1.251516642,1.251516639,1.251516677,1.251516602,35045179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,09:05:00,Saudi 2nd Division,Al-Kawkab,Mudhar Club,2.28,2.52,1.66,1.79,1.26,1.3,4.3,5.3,1.05,1.07,15.0,21.0,3.05,3.5,2.68,3.15,2.7,3.2,1.48,1.6,1.4,1.49,1.46,1.59,5.7,7.8,1.15,1.17,2.18,2.58,1.66,1.84,1.38,1.53,2.9,3.65,1.15,1.18,6.6,8.8,1.05,1.07,13.5,27.0,2.2,2.64,1.6,1.84,5.7,7.4,6.2,8.4,14.0,22.0,5.8,65.0,6.4,8.8,5.7,7.4,12.0,16.5,5.8,60.0,15.5,21.0,12.5,19.0,21.0,32.0,6.0,100.0,6.0,80.0,5.9,70.0,6.0,120.0,6.2,1000.0,6.0,100.0,5.9,80.0,6.4,1000.0,1.251558055,1.251558057,1.251558050,22028245.0,62434469.0,58805.0,1.251558052,1.251558053,1.251558056,1.251558100,1.251558097,1.251558101,1.251558098,1.251558136,1.251558061,35049038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-11,09:15:00,AFC Champions League Two,Kaya,Pohang Steelers,4.5,5.0,1.25,1.28,1.83,1.91,2.1,2.2,1.22,1.26,4.8,5.5,7.6,22.0,1.21,1.27,5.6,9.2,1.03,6.8,1.05,1.09,1.11,1.19,3.0,48.0,1.03,1.04,3.95,7.8,1.15,1.21,2.62,2.74,1.57,1.62,1.65,1.72,2.38,2.54,1.28,1.38,3.6,4.8,2.02,2.44,1.69,1.97,5.9,38.0,4.4,12.0,3.95,9.0,4.1,9.8,6.6,60.0,5.2,21.0,4.7,15.0,4.8,15.0,7.2,1000.0,6.8,1000.0,6.8,44.0,6.6,44.0,6.8,1000.0,9.2,1000.0,7.4,1000.0,7.4,1000.0,7.4,1000.0,3.1,3.95,6.8,1000.0,1.251515303,1.251515305,1.251515298,11159582.0,1363823.0,58805.0,1.251515300,1.251515291,1.251515304,1.251515314,1.251515310,1.251515256,1.251515311,1.251515299,1.251515309,35045306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
