League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,CV_Ptos_H,Media_GM_H,CV_GM_H,Media_GS_H,CV_GS_H,Media_SG_H,CV_SG_H,Media_SG_H_01,CV_SG_H_01,Media_SG_H_02,CV_SG_H_02,Media_VG_H,CV_VG_H,Media_CG_H_00,CV_CG_H_00,Media_CG_H_01,CV_CG_H_01,Media_CG_H_02,CV_CG_H_02,Media_Ptos_A,CV_Ptos_A,Media_GM_A,CV_GM_A,Media_GS_A,CV_GS_A,Media_SG_A,CV_SG_A,Media_SG_A_01,CV_SG_A_01,Media_SG_A_02,CV_SG_A_02,Media_VG_A,CV_VG_A,Media_CG_A_00,CV_CG_A_00,Media_CG_A_01,CV_CG_A_01,Media_CG_A_02,CV_CG_A_02
FINLAND 1,2025-07-28,13:00:00,17,Gnistan,HJK,4.33,2.29,2.28,4.1,3.65,1.73,1.29,3.2,2.25,1.55,5.5,1.13,1.03,11.0,1.15,4.0,1.65,2.2,1.59,2.21,2.0,1.23,1.21,1.57,1.63,1.26,1.62,2.88,2.85,8.4,1.5,1.1,5.15,1.23,3.42,1.55,2.3,1.85,1.85,2.19,1.57,0.24390243902439027,0.273972602739726,0.5780346820809249,0.3983195553750777,1.1232876712328765,2.3699421965317917,0.8902439024390244,2.1098265895953756,0.42195121951219516,0.473972602739726,2.3699999999999997,0.44999999999999973,1.92,-49.839587576297575,-12.68038349181981,-43.830860672092584,1.3699421965317917,0.12328767123287664,1.1098265895953756,1.6,0.8385254915624211,1.2,0.912870929175277,1.0,0.9999999999999998,0.2,7.416198487095664,-0.14199999999999946,-29.088786644184275,1.272,3.152478473407181,0.4588676392965739,1.0669530103333957,0.5291416326203636,0.8201248332895062,3.16,1.060867868546173,0.7829436412286851,0.7599681114614941,2.0,0.7071067811865476,2.0,1.0,0.6,2.23606797749979,1.4,2.1189138534559038,1.4460000000000004,3.887486789833173,9.225999999999999,1.5166641918338428,0.386606334841629,0.9424002125762257,0.5261759370802697,0.8257443451832618,2.9880000000000004,0.9578591557637977,1.2938172294206773,0.8170447866473972
ROMANIA 1,2025-07-28,13:00:00,3,Botoşani,Unirea Slobozia,2.49,2.03,4.75,1.79,3.21,4.0,1.44,2.59,3.04,1.33,7.4,1.03,1.03,7.5,1.33,2.84,2.05,1.61,1.92,1.79,1.22,1.3,1.86,1.0,0.0,1.3,1.25,2.55,1.54,7.75,3.36,1.24,3.32,1.5,2.37,1.85,1.85,2.35,1.51,3.16,1.27,0.5586592178770949,0.3115264797507788,0.25,0.3732886878066953,0.5576323987538941,0.4475,1.7932960893854748,0.8025,2.2346368715083798,1.2461059190031152,2.21,1.42,0.79,47.85561743091627,35.37475184387608,21.554019920478844,0.5525,0.4423676012461059,0.1975,1.2,0.9128709291752767,0.8,1.0458250331675945,0.8,0.559016994374947,0.0,1.0,-0.08800000000000034,-14.928246078884637,0.16800000000000015,18.066353826646047,0.1828900270418593,1.0333998653111205,0.6880769889443468,0.4481950422210797,1.3699999999999999,1.0191307688951916,0.678888441629611,0.6461596071975967,1.0,1.224744871391589,1.0,1.224744871391589,1.0,1.0,0.0,1.0,-2.2680000000000007,-2.625553828186123,1.608,4.061310486956591,0.4149214056835303,0.9168186448037766,0.5036981554893829,0.9000151757405251,3.5120000000000005,0.9263277270447966,0.6360169309324781,1.079525163845849
SWEDEN 1,2025-07-28,14:00:00,17,Elfsborg,IFK Göteborg,2.63,2.3,3.75,1.96,3.47,3.11,1.3,3.4,2.5,1.5,6.0,1.13,1.05,10.0,1.22,4.2,1.69,2.04,1.62,2.2,1.28,1.22,1.77,2.0,1.88,1.61,1.23,2.84,1.83,6.75,2.15,1.15,4.6,1.27,3.3,1.48,2.48,1.76,1.94,2.18,1.58,0.5102040816326531,0.2881844380403458,0.3215434083601286,0.2770576926718327,0.5648414985590777,0.6302250803858521,1.7704081632653061,1.1157556270096465,1.586734693877551,0.8962536023054755,1.15,1.5100000000000002,0.3600000000000003,29.89890183861456,37.052804540912,-10.203973721731693,0.3697749196141479,0.4351585014409222,0.11575562700964641,1.4,1.0832679205787927,1.6,1.369306393762915,1.4,0.9583148474999099,0.2,12.449899597988736,0.18,28.97125011685436,0.9239999999999988,8.035907776760094,0.4644822205797814,1.3981524805143208,0.6551183467499699,0.7210333106993853,2.936,1.3821322766599056,1.0540708456397399,1.0584208854353472,2.0,0.7071067811865476,1.4,1.083267920578793,1.0,1.224744871391589,0.4,5.184110338331929,0.1859999999999995,35.694422568806594,1.334,3.30179729982392,0.5719111930300296,1.0932770835608279,0.5387721956314636,0.80947422848322,3.3779999999999992,1.0888838317647909,0.883933478847449,0.8895746079801217
SWEDEN 2,2025-07-28,14:00:00,16,Helsingborg,Varberg,3.1,2.1,3.1,2.65,3.3,2.55,1.38,2.8,2.75,1.4,7.5,1.08,1.06,9.0,1.3,3.45,1.92,1.78,1.67,2.05,1.48,1.25,1.48,1.43,1.14,1.73,1.6,3.33,2.25,8.5,1.93,1.22,3.75,1.29,3.25,1.48,2.43,1.76,1.92,2.17,1.6,0.37735849056603776,0.30303030303030304,0.3921568627450981,0.14372696144553665,0.8030303030303031,1.0392156862745099,1.2452830188679245,1.2941176470588236,0.9622641509433962,0.7727272727272727,0.10000000000000009,0.6499999999999999,0.75,-2.86240522611175,18.00416160591338,-20.556045219583464,0.03921568627450984,0.19696969696969696,0.29411764705882354,1.6,0.8385254915624211,1.2,1.8066236157232334,0.6,1.4907119849998598,0.6,3.651483716701107,0.8879999999999999,3.8158763428097298,2.9219999999999997,3.522064739757363,0.2627326590460231,1.682999826469556,0.7334100057504312,0.5332218698023459,1.8560000000000003,1.726466638572045,0.8764982476734258,1.2766453582377968,0.8,1.6298006013006627,0.8,0.5590169943749487,1.8,1.1385500851066221,-1.0,-1.8708286933869713,-2.632,-1.9840747844635662,-2.222,-1.7559554222858895,0.36374353995831243,0.5731928559654328,0.49772143287472365,0.5675709588511963,2.163999999999999,0.5678148792876327,0.5880764027118717,0.3735607622923833
SWEDEN 2,2025-07-28,14:00:00,16,Västerås SK,Trelleborg,2.25,2.3,5.0,1.63,3.64,4.33,1.33,3.25,2.63,1.44,6.5,1.11,1.05,10.0,1.28,3.8,1.76,1.94,1.8,1.95,1.2,1.25,2.05,1.86,0.88,1.38,1.64,3.02,1.52,9.0,2.97,1.23,3.6,1.35,2.74,1.63,2.09,2.07,1.67,2.67,1.39,0.6134969325153374,0.2747252747252747,0.23094688221709006,0.43835853262483676,0.44780219780219777,0.3764434180138568,2.2331288343558287,0.8406466512702079,2.6564417177914113,1.1895604395604396,2.7,2.0100000000000002,0.69,53.47114463301483,45.14288194698734,19.034434354835188,0.6235565819861432,0.5521978021978022,0.15935334872979212,1.8,0.6085806194501844,1.2,0.6972166887783964,0.8,1.369306393762915,0.4,1.369306393762915,0.678,1.3800770753711735,1.6299999999999994,1.4002655904822938,0.24616688780775467,0.6950342692506633,0.5797227165761114,0.4642697911944264,1.826,0.6621706733794599,0.9219494918432473,0.4812693587878132,0.8,1.629800601300662,0.8,1.369306393762915,2.0,0.9354143466934853,-1.2,-1.6029486718059456,-3.0959999999999996,-1.7767421121162847,-2.784,-1.493234950447543,0.3840914673633907,1.4045000303725117,0.6664597602739726,0.6859890343788799,2.4840000000000004,1.4040215078006397,0.5588376841065468,0.9937049648380749
POLAND 2,2025-07-28,14:00:00,0,Odra Opole,Miedź Legnica,4.05,2.05,2.75,3.0,3.25,2.05,1.38,2.78,3.14,1.33,8.0,1.08,1.06,9.0,1.3,3.0,1.93,1.73,1.81,1.88,1.35,1.35,1.3,0.0,0.0,0.0,0.84,0.84,2.18,7.24,2.04,1.18,3.76,1.4,2.61,1.92,2.0,2.14,1.62,2.8,1.35,0.3333333333333333,0.3076923076923077,0.48780487804878053,0.2288363844966576,0.9230769230769231,1.4634146341463417,1.0833333333333333,1.5853658536585367,0.6833333333333332,0.6307692307692307,0.9500000000000002,0.25,1.2000000000000002,-25.407718108948476,7.125016348901798,-30.96375653207353,0.4634146341463416,0.07692307692307693,0.5853658536585368,1.6,0.8385254915624211,1.4,1.3923991921155663,0.8,1.369306393762915,0.6,3.2489314482696545,1.2760000000000005,3.322078035571308,2.2079999999999997,2.970452458769348,0.38974038160775737,1.3824409371624518,0.6568200161420501,0.7154454509856101,2.816,1.3693432310986846,0.9204681194511704,1.0922449492079442,0.8,1.6298006013006623,1.0,1.2247448713915887,1.6,1.0458250331675945,-0.6,-1.9002923751652294,-1.204,-3.279882349576202,-1.608,-1.4597839108442532,0.41326221018020687,1.0419917364319427,0.5451281905596771,0.7766398986788092,2.872,1.0479153662685603,0.6847032399410106,0.9041023038068828
DENMARK 1,2025-07-28,14:00:00,0,Midtjylland,SønderjyskE,1.98,2.62,4.92,1.56,4.4,5.3,1.22,3.8,2.03,1.7,4.0,1.18,1.02,16.0,1.07,5.36,1.4,2.74,1.57,2.25,1.18,1.17,2.6,1.0,0.0,2.54,0.0,2.54,1.19,12.0,5.85,1.2,4.0,1.33,2.83,1.57,2.25,1.95,1.66,2.4,1.5,0.641025641025641,0.22727272727272727,0.18867924528301888,0.5200866986551123,0.35454545454545455,0.2943396226415095,2.8205128205128207,0.8301886792452832,3.3974358974358974,1.2045454545454544,3.7399999999999998,2.8400000000000003,0.8999999999999995,61.86393940977817,54.84582236785258,24.227745317954156,0.7056603773584905,0.6454545454545455,0.1698113207547169,2.2,0.49792959773196904,2.8,0.6388765649999399,1.2,1.0865337342004417,1.6,1.2960275845829827,3.266000000000001,1.379303834090885,5.358,1.1582813029096635,0.7256709135267009,0.8421648495876647,0.3386513932526203,1.1018237139725449,5.196000000000001,0.7422414167749952,1.6905981725000132,0.5122660354291585,2.0,0.7071067811865477,1.6,0.9478594305064438,1.0,1.0,0.6,1.9002923751652305,1.3000000000000005,3.3367462803822763,1.4440000000000002,1.5809628968990321,0.7173944740103521,0.9412092564323723,0.4797979797979798,0.9902903593189608,4.590000000000001,0.9305408509916026,0.9413834671373025,0.8523637229755661
POLAND 1,2025-07-28,14:00:00,2,GKS Katowice,Zagłębie Lubin,2.7,2.12,3.3,2.0,3.45,3.0,1.35,3.1,2.5,1.43,6.2,1.06,1.05,11.0,1.2,3.75,1.75,1.95,1.62,2.2,1.3,1.29,1.65,0.0,0.0,1.03,1.01,2.04,1.95,8.2,2.1,1.24,3.2,1.5,2.4,2.1,1.91,2.35,1.55,3.0,1.33,0.5,0.2898550724637681,0.3333333333333333,0.26349637962381445,0.5797101449275363,0.6666666666666666,1.725,1.1500000000000001,1.5,0.8695652173913043,1.0,1.4500000000000002,0.4500000000000002,26.56505117707799,35.942111871382345,-12.680383491819825,0.3333333333333333,0.4202898550724638,0.15000000000000005,1.0,1.2247448713915883,1.0,0.9999999999999993,1.4,0.8144110179279558,-0.4,-2.850438562747839,-1.6280000000000001,-2.178947022909344,-0.6679999999999993,-3.883777126205515,0.49496117917170546,1.0869929937745293,0.5250499760115145,0.836022841636465,3.4840000000000004,1.1355397297734782,0.6732419549727242,0.7260344057173687,0.8,1.629800601300662,0.8,1.629800601300662,1.2,0.9128709291752768,-0.4,-3.791437722025775,-0.708,-9.089328195063102,-0.9360000000000003,-2.988423756240477,0.4541003671970623,1.6655631901347165,0.6748717948717948,0.6716568745311692,3.65,1.7805584631255424,0.5436228508821277,1.1575613731209278
HUNGARY 2,2025-07-28,15:00:00,1,Videoton,Honvéd W,2.88,2.2,3.25,2.36,3.25,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42372881355932207,0.3076923076923077,0.3508771929824561,0.15807013537604733,0.7261538461538461,0.8280701754385964,1.3771186440677967,1.1403508771929824,1.207627118644068,0.8769230769230769,0.4900000000000002,0.8900000000000001,0.3999999999999999,13.766300685466264,23.989064009552393,-11.309932474020211,0.17192982456140357,0.2738461538461539,0.14035087719298242,0.4,1.3693063937629142,0.2,2.2360679774997894,1.6,0.7126096406869612,-1.4,-0.9583148474999099,-3.4819999999999993,-0.9545651989150856,-3.5799999999999996,-0.9515755793122643,0.07662835249042146,2.236067977499817,0.8784313725490197,0.3094558361718455,0.5099999999999998,2.2360679774998076,0.3025100363081609,0.7288295590644034,1.4,0.63887656499994,0.8,1.3693063937629153,0.6,1.4907119849998616,0.2,2.2360679774997894,0.7399999999999999,2.2360679774997836,0.4000000000000002,2.2360679774997974,0.491970802919708,1.4086206874160536,0.6452088452088451,0.7533519811426465,3.6800000000000006,1.4123116834166995,0.5499091553061223,0.9352409205461292
SLOVENIA 1,2025-07-28,15:00:00,2,Koper,Primorje,0.0,0.0,0.0,1.52,3.98,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,2.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.73,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6578947368421053,0.25125628140703515,0.2127659574468085,0.49042739640222843,0.38190954773869346,0.3234042553191489,2.6184210526315788,0.8468085106382979,3.0921052631578947,1.1809045226130654,3.18,2.46,0.7200000000000002,57.832947414224144,50.888608746045655,19.798876354524936,0.676595744680851,0.6180904522613065,0.15319148936170215,1.8,0.6085806194501845,1.4,0.8144110179279554,0.6,0.9128709291752768,0.8,1.629800601300662,1.2859999999999998,1.5333573586799012,3.822,1.8036098483661338,0.4248358817790465,0.5820940812416338,0.4318591519625066,0.7496306811575844,2.88,0.6096543954301357,0.9519719830535841,0.6260865074787731,1.2,0.9128709291752768,0.8,0.5590169943749479,1.0,1.224744871391589,-0.2,-5.477225575051663,-3.4379999999999997,-2.716129220313631,-0.04399999999999995,-36.184787452397835,0.49878609648993744,0.6529819681549979,0.3825056465740445,0.9449393250401511,4.568,0.8495159528981531,0.5125294190317031,0.45515605943171833
