Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
KlkvZLug,2026-03-05,00:00,Asia - Asian Cup Women,Round 2,Philippines W,South Korea W,23.0,2.85,1.36,1.22,3.8,2.02,1.57,0.0,0.0,35.0,6.6,1.08,0.0,0.0,0.0,0.0,1.41,2.52,2.1,1.57,3.58,1.21,35.0,6.6,0.0,0.0,0.0
nyiWzrBt,2026-03-05,06:00,Asia - Asian Cup Women,Round 2,Iran W,Australia W,14.0,3.8,1.26,1.08,6.5,1.45,2.27,2.5,1.43,22.0,9.0,1.05,1.01,26.0,1.03,12.0,1.13,5.0,1.28,3.08,1.62,2.02,22.0,9.0,0.0,0.0,0.0
xANmf1PG,2026-03-05,08:15,BULGARIA 1,Round 24,Lok. Sofia,Dobrudzha,2.5,2.05,5.0,1.5,2.5,3.4,1.3,10.0,1.06,1.81,3.4,4.33,1.07,9.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,2.0,1.73,1.2,1.3,1.91
Aa4B9Jzi,2026-03-05,08:30,India - ISL,-,East Bengal,Goa,2.63,2.1,3.75,1.36,2.88,2.88,1.36,7.5,1.06,2.0,3.5,3.5,1.04,11.0,1.29,3.5,1.9,1.87,3.4,1.3,6.5,1.1,1.75,2.05,1.3,1.3,1.73
xYILy5Vo,2026-03-05,09:15,ASIA AFC CHAMPIONS LEAGUE 2,Play Offs,Bangkok Utd,Tampines,1.83,2.5,5.5,1.25,3.5,2.25,1.57,5.0,1.14,1.36,4.4,6.0,1.01,15.0,1.17,5.0,1.53,2.45,2.45,1.53,4.33,1.2,1.67,2.1,1.08,1.14,2.7
4Of2KXfJ,2026-03-05,10:00,ETHIOPIA 1,Round 22,Hadiya Hossana,Adama City,3.4,1.91,3.5,1.5,2.4,3.8,1.22,11.0,1.01,2.55,2.88,2.75,1.07,7.0,1.5,2.4,2.6,1.44,5.5,1.11,11.0,1.01,2.1,1.65,1.4,1.36,1.44
AePSQxsT,2026-03-05,10:30,INDONESIA 1,Round 24,Persijap Jepara,Persis Solo,2.4,2.1,4.33,1.36,2.88,2.88,1.36,7.5,1.06,1.8,3.4,4.0,1.05,10.0,1.3,3.4,2.0,1.8,3.5,1.29,8.0,1.07,1.83,1.83,1.2,1.25,1.83
xrRKSbCG,2026-03-05,10:30,INDONESIA 1,Round 24,Persik Kediri,PSBS Biak Numfor,2.0,2.3,5.0,1.3,3.2,2.5,1.5,6.0,1.11,1.5,4.0,5.0,1.02,13.0,1.22,4.2,1.73,2.1,2.88,1.4,5.5,1.14,1.73,2.0,1.11,1.17,2.4
trUvdNf4,2026-03-05,10:45,BULGARIA 1,Round 24,Lok. Plovdiv,CSKA 1948 Sofia,4.0,2.05,2.88,1.44,2.63,3.25,1.33,10.0,1.06,3.25,3.4,2.15,1.07,8.5,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.91,1.8,1.67,1.3,1.33
WMLr8puK,2026-03-05,13:00,Czech Republic - MOL Cup,Quarter-finals,Karvina,Plzen,4.75,2.38,2.2,1.3,3.4,2.5,1.5,6.0,1.13,4.75,3.6,1.7,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.67,2.1,2.1,1.29,1.18
